,sketch_id,game_id,animal,cardinality,trial_num,condition,block,clfScore_animal,clfScore_cardinality
503,2824-66e43315-075a-431f-86d4-6eea7f135aa2_owl_8_17_shape_owl_8_042,2824-66e43315-075a-431f-86d4-6eea7f135aa2,owl,8,17.0,shape,3.0,owl,7
504,2824-66e43315-075a-431f-86d4-6eea7f135aa2_rabbit_1_26_shape_rabbit_1_037,2824-66e43315-075a-431f-86d4-6eea7f135aa2,rabbit,1,26.0,shape,4.0,deer,2
505,2824-66e43315-075a-431f-86d4-6eea7f135aa2_rabbit_2_14_shape_rabbit_2_050,2824-66e43315-075a-431f-86d4-6eea7f135aa2,rabbit,2,14.0,shape,2.0,rabbit,7
506,2824-66e43315-075a-431f-86d4-6eea7f135aa2_rabbit_3_7_shape_rabbit_3_088,2824-66e43315-075a-431f-86d4-6eea7f135aa2,rabbit,3,7.0,shape,1.0,rabbit,4
507,2824-66e43315-075a-431f-86d4-6eea7f135aa2_rabbit_4_21_shape_rabbit_4_040,2824-66e43315-075a-431f-86d4-6eea7f135aa2,rabbit,4,21.0,shape,3.0,rabbit,7
508,2824-66e43315-075a-431f-86d4-6eea7f135aa2_rabbit_5_11_shape_rabbit_5_020,2824-66e43315-075a-431f-86d4-6eea7f135aa2,rabbit,5,11.0,shape,2.0,rabbit,7
509,2824-66e43315-075a-431f-86d4-6eea7f135aa2_rabbit_6_18_shape_rabbit_6_074,2824-66e43315-075a-431f-86d4-6eea7f135aa2,rabbit,6,18.0,shape,3.0,rabbit,5
510,2824-66e43315-075a-431f-86d4-6eea7f135aa2_rabbit_7_29_shape_rabbit_7_006,2824-66e43315-075a-431f-86d4-6eea7f135aa2,rabbit,7,29.0,shape,4.0,bear,5
511,2824-66e43315-075a-431f-86d4-6eea7f135aa2_rabbit_8_1_shape_rabbit_8_066,2824-66e43315-075a-431f-86d4-6eea7f135aa2,rabbit,8,1.0,shape,1.0,rabbit,8
512,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_bear_1_21_shape_bear_1_025,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,bear,1,21.0,shape,3.0,bear,3
513,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_bear_2_2_shape_bear_2_000,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,bear,2,2.0,shape,1.0,bear,2
514,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_bear_3_12_shape_bear_3_069,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,bear,3,12.0,shape,2.0,bear,2
515,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_bear_4_14_shape_bear_4_084,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,bear,4,14.0,shape,2.0,bear,3
516,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_bear_5_31_shape_bear_5_043,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,bear,5,31.0,shape,4.0,bear,3
517,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_bear_6_19_shape_bear_6_036,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,bear,6,19.0,shape,3.0,bear,2
518,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_bear_7_7_shape_bear_7_092,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,bear,7,7.0,shape,1.0,bear,2
519,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_bear_8_25_shape_bear_8_069,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,bear,8,25.0,shape,4.0,bear,4
520,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_deer_1_26_shape_deer_1_035,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,deer,1,26.0,shape,4.0,deer,1
521,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_deer_2_20_shape_deer_2_046,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,deer,2,20.0,shape,3.0,deer,6
522,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_deer_3_6_shape_deer_3_039,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,deer,3,6.0,shape,1.0,deer,6
523,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_deer_4_1_shape_deer_4_059,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,deer,4,1.0,shape,1.0,deer,6
524,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_deer_5_9_shape_deer_5_001,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,deer,5,9.0,shape,2.0,deer,4
525,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_deer_6_29_shape_deer_6_098,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,deer,6,29.0,shape,4.0,deer,4
526,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_deer_7_22_shape_deer_7_036,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,deer,7,22.0,shape,3.0,deer,4
527,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_deer_8_15_shape_deer_8_034,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,deer,8,15.0,shape,2.0,deer,7
528,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_owl_1_4_shape_owl_1_038,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,owl,1,4.0,shape,1.0,rabbit,2
529,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_owl_2_11_shape_owl_2_041,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,owl,2,11.0,shape,2.0,owl,2
530,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_owl_3_27_shape_owl_3_012,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,owl,3,27.0,shape,4.0,owl,6
531,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_owl_4_32_shape_owl_4_002,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,owl,4,32.0,shape,4.0,owl,2
532,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_owl_5_23_shape_owl_5_087,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,owl,5,23.0,shape,3.0,owl,1
533,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_owl_6_8_shape_owl_6_007,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,owl,6,8.0,shape,1.0,rabbit,2
534,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_owl_7_16_shape_owl_7_035,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,owl,7,16.0,shape,2.0,owl,3
535,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_owl_8_18_shape_owl_8_008,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,owl,8,18.0,shape,3.0,owl,3
536,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_rabbit_1_10_shape_rabbit_1_066,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,rabbit,1,10.0,shape,2.0,rabbit,5
537,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_rabbit_2_28_shape_rabbit_2_047,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,rabbit,2,28.0,shape,4.0,rabbit,3
538,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_rabbit_3_17_shape_rabbit_3_071,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,rabbit,3,17.0,shape,3.0,rabbit,6
539,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_rabbit_4_24_shape_rabbit_4_060,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,rabbit,4,24.0,shape,3.0,rabbit,5
540,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_rabbit_5_3_shape_rabbit_5_095,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,rabbit,5,3.0,shape,1.0,rabbit,2
541,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_rabbit_6_13_shape_rabbit_6_083,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,rabbit,6,13.0,shape,2.0,owl,7
542,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_rabbit_7_30_shape_rabbit_7_018,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,rabbit,7,30.0,shape,4.0,rabbit,7
543,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f_rabbit_8_5_shape_rabbit_8_010,3157-91bcaadf-d5e1-42b1-9ae5-28f7f804924f,rabbit,8,5.0,shape,1.0,rabbit,7
544,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_bear_1_5_number_bear_1_059,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,bear,1,5.0,number,1.0,owl,1
545,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_bear_2_4_number_bear_2_097,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,bear,2,4.0,number,1.0,bear,6
546,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_bear_3_22_number_bear_3_031,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,bear,3,22.0,number,3.0,deer,4
547,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_bear_4_9_number_bear_4_052,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,bear,4,9.0,number,2.0,owl,2
548,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_bear_5_15_number_bear_5_000,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,bear,5,15.0,number,2.0,deer,5
549,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_bear_6_28_number_bear_6_028,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,bear,6,28.0,number,4.0,deer,1
550,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_bear_7_32_number_bear_7_097,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,bear,7,32.0,number,4.0,rabbit,5
551,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_bear_8_18_number_bear_8_081,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,bear,8,18.0,number,3.0,owl,5
552,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_deer_1_21_number_deer_1_006,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,deer,1,21.0,number,3.0,deer,1
553,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_deer_2_19_number_deer_2_084,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,deer,2,19.0,number,3.0,owl,1
554,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_deer_3_3_number_deer_3_002,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,deer,3,3.0,number,1.0,deer,1
555,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_deer_4_25_number_deer_4_063,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,deer,4,25.0,number,4.0,rabbit,1
556,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_deer_5_29_number_deer_5_055,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,deer,5,29.0,number,4.0,bear,5
557,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_deer_6_14_number_deer_6_076,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,deer,6,14.0,number,2.0,bear,4
558,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_deer_7_12_number_deer_7_016,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,deer,7,12.0,number,2.0,deer,1
559,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_deer_8_7_number_deer_8_075,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,deer,8,7.0,number,1.0,owl,3
560,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_owl_1_30_number_owl_1_080,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,owl,1,30.0,number,4.0,deer,1
561,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_owl_2_27_number_owl_2_080,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,owl,2,27.0,number,4.0,deer,4
562,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_owl_3_11_number_owl_3_019,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,owl,3,11.0,number,2.0,rabbit,1
563,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_owl_4_1_number_owl_4_081,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,owl,4,1.0,number,1.0,bear,1
564,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_owl_5_6_number_owl_5_062,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,owl,5,6.0,number,1.0,rabbit,1
565,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_owl_6_17_number_owl_6_030,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,owl,6,17.0,number,3.0,deer,5
566,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_owl_7_23_number_owl_7_046,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,owl,7,23.0,number,3.0,owl,2
567,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_owl_8_16_number_owl_8_043,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,owl,8,16.0,number,2.0,deer,2
568,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_rabbit_1_13_number_rabbit_1_020,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,rabbit,1,13.0,number,2.0,deer,4
569,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_rabbit_2_10_number_rabbit_2_057,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,rabbit,2,10.0,number,2.0,deer,4
570,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_rabbit_3_31_number_rabbit_3_071,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,rabbit,3,31.0,number,4.0,deer,1
571,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_rabbit_4_24_number_rabbit_4_044,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,rabbit,4,24.0,number,3.0,rabbit,1
572,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_rabbit_5_20_number_rabbit_5_024,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,rabbit,5,20.0,number,3.0,deer,1
573,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_rabbit_6_2_number_rabbit_6_036,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,rabbit,6,2.0,number,1.0,deer,5
574,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_rabbit_7_8_number_rabbit_7_064,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,rabbit,7,8.0,number,1.0,bear,1
575,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469_rabbit_8_26_number_rabbit_8_042,3328-d6ef6fc7-8325-478b-ada1-da4e2ec52469,rabbit,8,26.0,number,4.0,deer,8
576,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_bear_1_11_number_bear_1_050,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,bear,1,11.0,number,2.0,owl,2
577,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_bear_2_17_number_bear_2_026,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,bear,2,17.0,number,3.0,bear,1
578,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_bear_3_16_number_bear_3_094,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,bear,3,16.0,number,2.0,owl,4
579,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_bear_4_25_number_bear_4_094,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,bear,4,25.0,number,4.0,owl,4
580,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_bear_5_21_number_bear_5_044,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,bear,5,21.0,number,3.0,rabbit,5
581,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_bear_6_1_number_bear_6_083,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,bear,6,1.0,number,1.0,deer,4
582,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_bear_7_32_number_bear_7_015,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,bear,7,32.0,number,4.0,rabbit,7
583,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_bear_8_5_number_bear_8_014,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,bear,8,5.0,number,1.0,deer,5
584,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_deer_1_30_number_deer_1_092,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,deer,1,30.0,number,4.0,owl,1
585,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_deer_2_10_number_deer_2_068,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,deer,2,10.0,number,2.0,owl,2
586,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_deer_3_27_number_deer_3_082,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,deer,3,27.0,number,4.0,rabbit,4
587,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_deer_4_3_number_deer_4_063,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,deer,4,3.0,number,1.0,owl,6
588,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_deer_5_14_number_deer_5_099,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,deer,5,14.0,number,2.0,bear,3
589,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_deer_6_19_number_deer_6_038,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,deer,6,19.0,number,3.0,bear,5
590,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_deer_7_7_number_deer_7_030,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,deer,7,7.0,number,1.0,rabbit,7
591,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_deer_8_22_number_deer_8_006,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,deer,8,22.0,number,3.0,rabbit,5
592,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_owl_1_20_number_owl_1_076,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,owl,1,20.0,number,3.0,bear,1
593,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_owl_2_4_number_owl_2_032,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,owl,2,4.0,number,1.0,bear,1
594,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_owl_3_24_number_owl_3_078,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,owl,3,24.0,number,3.0,owl,4
595,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_owl_4_15_number_owl_4_048,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,owl,4,15.0,number,2.0,deer,4
596,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_owl_5_8_number_owl_5_013,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,owl,5,8.0,number,1.0,rabbit,4
597,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_owl_6_28_number_owl_6_031,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,owl,6,28.0,number,4.0,rabbit,6
598,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_owl_7_12_number_owl_7_071,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,owl,7,12.0,number,2.0,deer,4
599,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_owl_8_29_number_owl_8_075,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,owl,8,29.0,number,4.0,bear,6
600,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_rabbit_1_6_number_rabbit_1_029,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,rabbit,1,6.0,number,1.0,rabbit,2
601,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_rabbit_2_31_number_rabbit_2_063,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,rabbit,2,31.0,number,4.0,owl,2
602,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_rabbit_3_2_number_rabbit_3_051,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,rabbit,3,2.0,number,1.0,owl,2
603,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_rabbit_4_18_number_rabbit_4_087,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,rabbit,4,18.0,number,3.0,owl,5
604,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_rabbit_5_26_number_rabbit_5_039,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,rabbit,5,26.0,number,4.0,owl,8
605,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_rabbit_6_9_number_rabbit_6_045,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,rabbit,6,9.0,number,2.0,owl,7
606,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_rabbit_7_23_number_rabbit_7_033,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,rabbit,7,23.0,number,3.0,rabbit,7
607,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42_rabbit_8_13_number_rabbit_8_020,3738-67fb0f67-04af-48bb-8ee1-7567cf485a42,rabbit,8,13.0,number,2.0,deer,6
608,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_bear_1_32_shape_bear_1_012,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,bear,1,32.0,shape,4.0,deer,6
609,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_bear_2_12_shape_bear_2_063,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,bear,2,12.0,shape,2.0,rabbit,2
610,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_bear_3_5_shape_bear_3_057,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,bear,3,5.0,shape,1.0,rabbit,6
611,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_bear_4_24_shape_bear_4_047,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,bear,4,24.0,shape,3.0,deer,2
612,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_bear_5_19_shape_bear_5_031,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,bear,5,19.0,shape,3.0,deer,4
613,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_bear_6_25_shape_bear_6_005,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,bear,6,25.0,shape,4.0,owl,1
614,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_bear_7_4_shape_bear_7_079,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,bear,7,4.0,shape,1.0,deer,7
615,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_bear_8_16_shape_bear_8_070,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,bear,8,16.0,shape,2.0,rabbit,5
616,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_deer_1_11_shape_deer_1_068,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,deer,1,11.0,shape,2.0,rabbit,1
617,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_deer_2_26_shape_deer_2_021,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,deer,2,26.0,shape,4.0,deer,8
618,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_deer_3_17_shape_deer_3_084,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,deer,3,17.0,shape,3.0,deer,2
619,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_deer_4_8_shape_deer_4_089,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,deer,4,8.0,shape,1.0,rabbit,2
620,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_deer_5_2_shape_deer_5_002,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,deer,5,2.0,shape,1.0,deer,5
621,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_deer_6_13_shape_deer_6_008,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,deer,6,13.0,shape,2.0,deer,8
622,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_deer_7_21_shape_deer_7_016,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,deer,7,21.0,shape,3.0,deer,8
623,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_deer_8_30_shape_deer_8_060,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,deer,8,30.0,shape,4.0,deer,8
624,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_owl_1_7_shape_owl_1_055,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,owl,1,7.0,shape,1.0,owl,3
625,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_owl_2_18_shape_owl_2_041,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,owl,2,18.0,shape,3.0,owl,5
626,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_owl_3_9_shape_owl_3_077,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,owl,3,9.0,shape,2.0,owl,3
627,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_owl_4_31_shape_owl_4_008,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,owl,4,31.0,shape,4.0,owl,3
628,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_owl_5_27_shape_owl_5_049,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,owl,5,27.0,shape,4.0,owl,5
629,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_owl_6_3_shape_owl_6_017,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,owl,6,3.0,shape,1.0,rabbit,5
630,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_owl_7_14_shape_owl_7_020,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,owl,7,14.0,shape,2.0,owl,5
631,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_owl_8_23_shape_owl_8_017,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,owl,8,23.0,shape,3.0,owl,7
632,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_rabbit_1_22_shape_rabbit_1_067,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,rabbit,1,22.0,shape,3.0,owl,1
633,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_rabbit_2_6_shape_rabbit_2_035,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,rabbit,2,6.0,shape,1.0,rabbit,7
634,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_rabbit_3_29_shape_rabbit_3_076,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,rabbit,3,29.0,shape,4.0,owl,6
635,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_rabbit_4_15_shape_rabbit_4_094,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,rabbit,4,15.0,shape,2.0,rabbit,7
636,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8_rabbit_5_10_shape_rabbit_5_075,3880-3184be49-687c-4cc1-ae09-d4fed1a8f5a8,rabbit,5,10.0,shape,2.0,rabbit,7
